| Country                | G&OSF | D     | MF&E   | FV&N  | C     | S&D   | PF    | FF/R  | B     | M     |
| Australia              | 28.79 | 24.55 | 117.99 | 30.54 | 35.44 | 4.59  | 4.28  | 28.28 | 37.92 | 64.07 |
| Australia              | 24.76 | 19.01 | 84.31  | 66.78 | 23.50 | 17.67 | 3.29  | None  | 63.94 | 0.49  |
| Bhutan                 | 0.25  | 0.00  | 0.08   | 1.46  | 1.27  | None  | None  | None  | 0.76  | 1.21  |
| Bosnia_and_Herzegovina | 17.40 | 17.77 | 54.22  | 28.18 | 8.75  | 21.74 | 2.47  | None  | 16.90 | None  |
| Chad                   | 0.00  | None  | 0.58   | 0.51  | 0.13  | None  | None  | None  | None  | None  |
| China                  | 6.52  | 26.29 | 26.97  | 16.45 | 17.26 | 17.70 | 6.12  | 9.17  | 27.95 | 0.63  |
| China                  | 3.98  | 1.26  | 23.27  | 11.84 | 5.57  | None  | 0.09  | None  | 6.73  | 4.53  |
| Cuba                   | 1.08  | 6.05  | 15.71  | 4.19  | 4.08  | 5.00  | 3.05  | 10.00 | 7.60  | 0.00  |
| Ecuador                | 17.40 | 0.00  | None   | 11.25 | 2.90  | None  | None  | None  | None  | None  |
| Egypt                  | 2.73  | 11.11 | 33.22  | 10.53 | 7.05  | None  | 0.09  | None  | 2.47  | None  |
| France                 | 23.41 | 24.45 | 92.29  | 54.96 | 32.22 | 17.10 | 85.66 | 32.51 | 44.76 | 12.59 |
| Germany                | 31.98 | 64.33 | 51.31  | 78.10 | 31.83 | 14.56 | 66.78 | None  | 70.17 | 91.01 |
| Great Britain          | 20.41 | 27.93 | 28.34  | 35.27 | 20.34 | 28.74 | 26.01 | None  | 38.51 | 27.60 |
| Greenland              | 34.07 | 4.87  | 53.97  | 8.67  | 25.66 | 54.25 | 35.66 | None  | 36.40 | 23.49 |
| Guatemala              | 11.49 | 2.25  | 7.93   | 34.75 | 8.85  | 3.96  | 0.79  | None  | 5.68  | None  |
| India                  | 5.35  | 9.70  | None   | 7.73  | 4.47  | 2.33  | 1.94  | 2.88  | 1.80  | None  |
| Italy                  | 25.97 | 18.38 | 36.64  | 25.12 | 18.70 | 38.83 | 22.33 | None  | 13.47 | 60.67 |
| Japan                  | 31.55 | 2.26  | 99.80  | 81.43 | 28.28 | 15.33 | 21.78 | None  | 28.40 | 8.42  |
| Okinawa                | 22.72 | 8.09  | 32.32  | 67.99 | 44.28 | 7.88  | 3.15  | None  | 27.83 | None  |
| Kuwait                 | 21.20 | 19.37 | 49.73  | 46.59 | 39.68 | 12.51 | 5.97  | None  | 26.40 | None  |
| Mali                   | 11.77 | 0.30  | 1.49   | 6.50  | 6.03  | None  | 0.30  | None  | 0.00  | None  |
| Mexico                 | 15.76 | 26.81 | 42.81  | 44.21 | 9.37  | 6.27  | 4.79  | None  | 39.07 | None  |
| Mongolia               | 5.41  | 6.19  | 13.51  | 8.35  | 1.58  | 2.38  | None  | None  | 1.74  | 0.86  |
| Philippines            | 7.09  | 2.01  | 19.72  | 7.17  | 2.01  | 1.92  | 1.13  | 3.16  | 4.46  | None  |
| Poland                 | 11.02 | 19.50 | 50.50  | 22.59 | 11.70 | 4.49  | 0.88  | 2.60  | 2.18  | 6.71  |
| Turkey                 | 10.46 | 12.16 | 11.50  | 56.53 | 9.60  | 0.51  | 1.36  | None  | 29.66 | 14.10 |
| United_States          | 30.11 | 6.22  | 22.87  | 21.30 | 9.43  | 11.54 | 19.33 | 11.90 | 22.89 | 3.49  |
| United_States          | 17.92 | 14.51 | 54.92  | 41.07 | 12.51 | 21.27 | 24.27 | 77.76 | 77.75 | None  |
| United_States          | 19.28 | 17.72 | 42.10  | 33.05 | 16.05 | 23.33 | 18.16 | 11.81 | 42.11 | 18.87 |
